Song ID,Song Title,Genre,Writer,Song Duration
1,Yellow Submarine,Psychedelic rock, Paul McCartney,2:39
2,Hey Bulldog,Hard rock; Psychedelic rock,John Lennon,3:12
3,Eleanor Rigby,Baroque pop,Paul McCartney,2:06
4,Love You To,Indian rock; Experimental rock; Raga rock,George Harrison,2:58
5,All Together Now,Music hall children's music skiffle,All Together Now,2:11
6,Lucy in the Sky with Diamonds,Psychedelic pop; Acid rock; Psychedelic rock,John Lennon,3:28
7,Think for Yourself,Rock,George Harrison,2:19
8,Sgt. Pepper's Lonely Hearts Club Band,Psychedelische rock,Paul McCartney,2:03
9,With a Little Help From My Friends,Pop rock; Psychedelic pop, John Lennon,2:44
10,Baby You're a Richman,Psychedelic pop; Psychedelic rock,John Lennon,3:01
11,Only a Northern Song,Psychedelic rock,George Harrison,3:24
12,All You Need is Love,Pop rock, John Lennon,3:47
13,When I'm Sixty-Four,Pop,Paul McCartney,2:37
14,Nowhere Man,Folk rock; Psychedelic rock,John Lennon,2:43
15,It's All Too Much, Psychedelische rock; Acid rock, George Harrison,6:26
